source_code,source_unit,target_code,target_unit,conversion_function
"1988-5","mg/L","1988-5","mg/L","$this"
"48421-2","mg/L","1988-5","mg/L","$this"
"59260-0","mmol/L","718-7","g/L","$this * 16.114"
"6298-4","mmol/L","2823-3","mmol/L","$this"
"39789-3","mmol/L","6298-4","mmol/L","$this"
"14683-7","mmol/L","2161-8","mg/L","$this * 113.12"
"14956-7","mg/vzm","14956-7","mg/vzm","$this"
"41657-8","mmol/L","2947-0","mmol/L","$this"
"72927-7","mmol/L","20977-5","mg/L","$this * 60.06"
"72926-9","mmol/L","20977-5","mg/L","$this * 60.06"
"2823-3","mmol/L","2823-3","mmol/L","$this"
"32717-1","mmol/L","2947-0","mmol/L","$this"
"2947-0","mmol/L","2947-0","mmol/L","$this"
"34366-5","mg/mmol kreat","34366-5","mg/mmol","$this"
"39790-1","mmol/L","6298-4","mmol/L","$this"
"25886-3","mmol/vzm","25886-3","mmol/vzm","$this"
"30000-4","mg/mmol","32294-1","mg/mmol","$this"
"100158-5","mg/L","100158-5","mg/L","$this"
"39792-7","mmol/L","2947-0","mmol/L","$this"
"39791-9","mmol/L","2947-0","mmol/L","$this"
"83107-3","ng/L","33762-6","pg/mL","$this"
"61152-5","g/L","1751-7","g/L","$this"
"75928-2","mmol/L","718-7","g/L","$this * 16.114"
"93846-4","mmol/L","718-7","g/L","$this * 16.114"
"32713-0","mmol/L","6298-4","mmol/L","$this"
"41656-0","mmol/L","6298-4","mmol/L","$this"
"2951-2","mmol/L","2951-2","mmol/L","$this"
